,City,City Link,Course,Course Link
86,Brentwood,http://www.golfcalifornia.com/courses/brentwood/,Creekside/Hillside at Brentwood Golf Club,http://www.golfcalifornia.com/courses/brentwood/brentwood-gc-creekside-hillside/
87,Brentwood,http://www.golfcalifornia.com/courses/brentwood/,Deer Ridge Golf Club,http://www.golfcalifornia.com/courses/brentwood/deer-ridge-gc/
88,Brentwood,http://www.golfcalifornia.com/courses/brentwood/,Hillside/Diablo at Brentwood Golf Club,http://www.golfcalifornia.com/courses/brentwood/brentwood-gc-hillside-diablo/
89,Brentwood,http://www.golfcalifornia.com/courses/brentwood/,Shadow Lakes Golf Club,http://www.golfcalifornia.com/courses/brentwood/shadow-lakes-gc/
90,Brooks,http://www.golfcalifornia.com/courses/brooks/,Yocha Dehe Golf Club,http://www.golfcalifornia.com/courses/brooks/yocha-de-he-gc/
91,Buellton,http://www.golfcalifornia.com/courses/buellton/,Zaca Creek Golf Course,http://www.golfcalifornia.com/courses/buellton/zaca-creek-gc/
92,Buena Park,http://www.golfcalifornia.com/courses/buena-park/,Lake/Valley at Los Coyotes Country Club,http://www.golfcalifornia.com/courses/buena-park/los-coyotes-lake-valley/
93,Buena Park,http://www.golfcalifornia.com/courses/buena-park/,Valley/Vista at Los Coyotes Country Club,http://www.golfcalifornia.com/courses/buena-park/los-coyotes-valley-vista/
94,Buena Park,http://www.golfcalifornia.com/courses/buena-park/,Vista/Lake at Los Coyotes Country Club,http://www.golfcalifornia.com/courses/buena-park/los-coyotes-vista-lake/
95,Burbank,http://www.golfcalifornia.com/courses/burbank/,Lakeside Golf Club,http://www.golfcalifornia.com/courses/burbank/lakeside-gc/
96,Burbank,http://www.golfcalifornia.com/courses/burbank/,Par-3 at De Bell Golf Course,http://www.golfcalifornia.com/courses/burbank/de-bell-par3/
97,Burbank,http://www.golfcalifornia.com/courses/burbank/,Regulation at De Bell Golf Course,http://www.golfcalifornia.com/courses/burbank/de-bell/
98,Burlingame,http://www.golfcalifornia.com/courses/burlingame/,Crystal Springs Golf Course,http://www.golfcalifornia.com/courses/burlingame/crystal-springs-gc/
99,Byron,http://www.golfcalifornia.com/courses/byron/,Discovery Bay Country Club,http://www.golfcalifornia.com/courses/byron/discovery-bay-cc/
100,Calabasas,http://www.golfcalifornia.com/courses/calabasas/,Calabasas Country Club,http://www.golfcalifornia.com/courses/calabasas/calabasas-cc/
101,California City,http://www.golfcalifornia.com/courses/california-city/,California City Municipal Par-3 Golf Course,http://www.golfcalifornia.com/courses/california-city/california-city-municipal-gc/
102,California City,http://www.golfcalifornia.com/courses/california-city/,Tierra del Sol Golf Course,http://www.golfcalifornia.com/courses/california-city/tierra-del-sol-gc/
103,Calimesa,http://www.golfcalifornia.com/courses/calimesa/,Calimesa Country Club,http://www.golfcalifornia.com/courses/calimesa/calimesa-cc/
104,Calistoga,http://www.golfcalifornia.com/courses/calistoga/,Mount Saint Helena Golf Course,http://www.golfcalifornia.com/courses/calistoga/mount-saint-helena-gc/
